,realtime_start,date,value,series_id,description,dtime
1810,2010-08-11,2007-04-01,4161.0,JTS1000JOL, Job Openings: Total Private,2007-04-01
2139,2010-08-11,2007-04-01,4835.0,JTS1000TSL,  Total Separations: Total Private ,2007-04-01
2309,2013-06-03,2007-04-01,100.346249216998,CSCICP03USM665S, OECD US Consumer Confidence,2007-04-01
3092,2007-05-04,2007-04-01,1196.0,UEMP27OV, Unemployed for 27 Weeks,2007-04-01
3293,2011-03-04,2007-04-01,8.2,U6Rate, Unemployed plus Marginally Attached ,2007-04-01
2762,2007-05-04,2007-04-01,6801.0,UNEMPLOY, Unemployment Level,2007-04-01
3,2007-05-04,2007-04-01,115465.0,USPRIV, BLS private,2007-04-01
3623,2011-05-06,2007-04-01,4325.0,LNS12032194, Part-Time for Econ Reasons,2007-04-01
1974,2010-08-11,2007-04-01,4897.0,JTS1000HIL,  Hires: Total Private ,2007-04-01
3422,2007-05-04,2007-04-01,66.0,CIVPART, Civilian Participation Rate,2007-04-01
2927,2007-05-04,2007-04-01,152587.0,CLF16OV, Civilian Labor Force,2007-04-01
1167,2009-09-10,2007-04-07,2509000.0,CCSA, Continued Claims ,2007-04-07
453,2009-05-28,2007-04-07,333000.0,ICSA, Initial Claims,2007-04-07
1168,2009-09-10,2007-04-14,2545000.0,CCSA, Continued Claims ,2007-04-14
450,2009-05-28,2007-04-14,329000.0,ICSA, Initial Claims,2007-04-14
1170,2009-09-10,2007-04-21,2490000.0,CCSA, Continued Claims ,2007-04-21
444,2009-05-28,2007-04-21,324000.0,ICSA, Initial Claims,2007-04-21
439,2009-05-28,2007-04-28,305000.0,ICSA, Initial Claims,2007-04-28
1178,2009-09-10,2007-04-28,2517000.0,CCSA, Continued Claims ,2007-04-28
2450,2013-06-03,2007-05-01,99.9399050433531,BSCICP03USM665S, OECD Business Confidence,2007-05-01
1811,2010-08-11,2007-05-01,4159.0,JTS1000JOL, Job Openings: Total Private,2007-05-01
2136,2010-08-11,2007-05-01,4946.0,JTS1000TSL,  Total Separations: Total Private ,2007-05-01
3093,2007-06-01,2007-05-01,1126.0,UEMP27OV, Unemployed for 27 Weeks,2007-05-01
2763,2007-06-01,2007-05-01,6819.0,UNEMPLOY, Unemployment Level,2007-05-01
3292,2011-03-04,2007-05-01,8.2,U6Rate, Unemployed plus Marginally Attached ,2007-05-01
4,2007-06-01,2007-05-01,115591.0,USPRIV, BLS private,2007-05-01
178,2011-02-02,2007-05-01,114759.0,NPPTTL, ADP,2007-05-01
2928,2007-06-01,2007-05-01,152762.0,CLF16OV, Civilian Labor Force,2007-05-01
3622,2011-05-06,2007-05-01,4465.0,LNS12032194, Part-Time for Econ Reasons,2007-05-01
3423,2007-06-01,2007-05-01,66.0,CIVPART, Civilian Participation Rate,2007-05-01
2276,2013-06-03,2007-05-01,100.283153228385,CSCICP03USM665S, OECD US Consumer Confidence,2007-05-01
1975,2010-08-11,2007-05-01,4992.0,JTS1000HIL,  Hires: Total Private ,2007-05-01
2598,2007-06-01,2007-05-01,4.5,UNRATE, Unemployment Rate,2007-05-01
434,2009-05-28,2007-05-05,301000.0,ICSA, Initial Claims,2007-05-05
1172,2009-09-10,2007-05-05,2479000.0,CCSA, Continued Claims ,2007-05-05
430,2009-05-28,2007-05-12,302000.0,ICSA, Initial Claims,2007-05-12
1173,2009-09-10,2007-05-12,2510000.0,CCSA, Continued Claims ,2007-05-12
395,2009-05-28,2007-05-19,314000.0,ICSA, Initial Claims,2007-05-19
1174,2009-09-10,2007-05-19,2479000.0,CCSA, Continued Claims ,2007-05-19
1175,2009-09-10,2007-05-26,2535000.0,CCSA, Continued Claims ,2007-05-26
359,2009-05-28,2007-05-26,314000.0,ICSA, Initial Claims,2007-05-26
175,2011-02-02,2007-06-01,114857.0,NPPTTL, ADP,2007-06-01
2137,2010-08-11,2007-06-01,4849.0,JTS1000TSL,  Total Separations: Total Private ,2007-06-01
2929,2007-07-06,2007-06-01,153072.0,CLF16OV, Civilian Labor Force,2007-06-01
1973,2010-08-11,2007-06-01,4948.0,JTS1000HIL,  Hires: Total Private ,2007-06-01
2764,2007-07-06,2007-06-01,6933.0,UNEMPLOY, Unemployment Level,2007-06-01
3094,2007-07-06,2007-06-01,1120.0,UEMP27OV, Unemployed for 27 Weeks,2007-06-01
2332,2013-06-03,2007-06-01,100.240600904341,CSCICP03USM665S, OECD US Consumer Confidence,2007-06-01
5,2007-07-06,2007-06-01,115742.0,USPRIV, BLS private,2007-06-01
3291,2011-03-04,2007-06-01,8.3,U6Rate, Unemployed plus Marginally Attached ,2007-06-01
3619,2011-05-06,2007-06-01,4338.0,LNS12032194, Part-Time for Econ Reasons,2007-06-01
3424,2007-07-06,2007-06-01,66.1,CIVPART, Civilian Participation Rate,2007-06-01
1809,2010-08-11,2007-06-01,4341.0,JTS1000JOL, Job Openings: Total Private,2007-06-01
2451,2013-06-03,2007-06-01,99.9499705356893,BSCICP03USM665S, OECD Business Confidence,2007-06-01
2599,2007-07-06,2007-06-01,4.5,UNRATE, Unemployment Rate,2007-06-01
358,2009-05-28,2007-06-02,318000.0,ICSA, Initial Claims,2007-06-02
1176,2009-09-10,2007-06-02,2500000.0,CCSA, Continued Claims ,2007-06-02
1177,2009-09-10,2007-06-09,2539000.0,CCSA, Continued Claims ,2007-06-09
356,2009-05-28,2007-06-09,316000.0,ICSA, Initial Claims,2007-06-09
1190,2009-09-10,2007-06-16,2510000.0,CCSA, Continued Claims ,2007-06-16
354,2009-05-28,2007-06-16,327000.0,ICSA, Initial Claims,2007-06-16
352,2009-05-28,2007-06-23,318000.0,ICSA, Initial Claims,2007-06-23
1180,2009-09-10,2007-06-23,2578000.0,CCSA, Continued Claims ,2007-06-23
1171,2009-09-10,2007-06-30,2562000.0,CCSA, Continued Claims ,2007-06-30
349,2009-05-28,2007-06-30,323000.0,ICSA, Initial Claims,2007-06-30
172,2011-02-02,2007-07-01,114851.0,NPPTTL, ADP,2007-07-01
3635,2011-05-06,2007-07-01,4383.0,LNS12032194, Part-Time for Econ Reasons,2007-07-01
2930,2007-08-03,2007-07-01,153231.0,CLF16OV, Civilian Labor Force,2007-07-01
2140,2010-08-11,2007-07-01,4842.0,JTS1000TSL,  Total Separations: Total Private ,2007-07-01
2334,2013-06-03,2007-07-01,100.216416620792,CSCICP03USM665S, OECD US Consumer Confidence,2007-07-01
6,2007-08-03,2007-07-01,115895.0,USPRIV, BLS private,2007-07-01
3095,2007-08-03,2007-07-01,1308.0,UEMP27OV, Unemployed for 27 Weeks,2007-07-01
3425,2007-08-03,2007-07-01,66.1,CIVPART, Civilian Participation Rate,2007-07-01
2600,2007-08-03,2007-07-01,4.6,UNRATE, Unemployment Rate,2007-07-01
1971,2010-08-11,2007-07-01,4858.0,JTS1000HIL,  Hires: Total Private ,2007-07-01
2452,2013-06-03,2007-07-01,99.8222905394922,BSCICP03USM665S, OECD Business Confidence,2007-07-01
2765,2007-08-03,2007-07-01,7121.0,UNEMPLOY, Unemployment Level,2007-07-01
3289,2011-03-04,2007-07-01,8.4,U6Rate, Unemployed plus Marginally Attached ,2007-07-01
1807,2010-08-11,2007-07-01,4034.0,JTS1000JOL, Job Openings: Total Private,2007-07-01
347,2009-05-28,2007-07-07,318000.0,ICSA, Initial Claims,2007-07-07
1166,2009-09-10,2007-07-07,2599000.0,CCSA, Continued Claims ,2007-07-07
345,2009-05-28,2007-07-14,316000.0,ICSA, Initial Claims,2007-07-14
1162,2009-09-10,2007-07-14,2586000.0,CCSA, Continued Claims ,2007-07-14
1181,2009-09-10,2007-07-21,2555000.0,CCSA, Continued Claims ,2007-07-21
342,2009-05-28,2007-07-21,312000.0,ICSA, Initial Claims,2007-07-21
1186,2009-09-10,2007-07-28,2577000.0,CCSA, Continued Claims ,2007-07-28
341,2009-05-28,2007-07-28,308000.0,ICSA, Initial Claims,2007-07-28
2134,2010-08-11,2007-08-01,4926.0,JTS1000TSL,  Total Separations: Total Private ,2007-08-01
3287,2011-03-04,2007-08-01,8.5,U6Rate, Unemployed plus Marginally Attached ,2007-08-01
2766,2007-09-07,2007-08-01,7097.0,UNEMPLOY, Unemployment Level,2007-08-01
169,2011-02-02,2007-08-01,114811.0,NPPTTL, ADP,2007-08-01
2601,2007-09-07,2007-08-01,4.6,UNRATE, Unemployment Rate,2007-08-01
2333,2013-06-03,2007-08-01,99.9766793347826,CSCICP03USM665S, OECD US Consumer Confidence,2007-08-01
1806,2010-08-11,2007-08-01,4174.0,JTS1000JOL, Job Openings: Total Private,2007-08-01
2453,2013-06-03,2007-08-01,99.6380267868371,BSCICP03USM665S, OECD Business Confidence,2007-08-01
3426,2007-09-07,2007-08-01,65.8,CIVPART, Civilian Participation Rate,2007-08-01
3096,2007-09-07,2007-08-01,1247.0,UEMP27OV, Unemployed for 27 Weeks,2007-08-01
1970,2010-08-11,2007-08-01,4832.0,JTS1000HIL,  Hires: Total Private ,2007-08-01
7,2007-09-07,2007-08-01,115883.0,USPRIV, BLS private,2007-08-01
3625,2011-05-06,2007-08-01,4601.0,LNS12032194, Part-Time for Econ Reasons,2007-08-01
2931,2007-09-07,2007-08-01,152891.0,CLF16OV, Civilian Labor Force,2007-08-01
339,2009-05-28,2007-08-04,315000.0,ICSA, Initial Claims,2007-08-04
1159,2009-09-10,2007-08-04,2566000.0,CCSA, Continued Claims ,2007-08-04
337,2009-05-28,2007-08-11,321000.0,ICSA, Initial Claims,2007-08-11
1145,2009-09-10,2007-08-11,2594000.0,CCSA, Continued Claims ,2007-08-11
335,2009-05-28,2007-08-18,328000.0,ICSA, Initial Claims,2007-08-18
1080,2009-09-10,2007-08-18,2593000.0,CCSA, Continued Claims ,2007-08-18
333,2009-05-28,2007-08-25,334000.0,ICSA, Initial Claims,2007-08-25
1081,2009-09-10,2007-08-25,2612000.0,CCSA, Continued Claims ,2007-08-25
1950,2010-08-11,2007-09-01,4843.0,JTS1000HIL,  Hires: Total Private ,2007-09-01
8,2007-10-05,2007-09-01,115961.0,USPRIV, BLS private,2007-09-01
2454,2013-06-03,2007-09-01,99.4778942842035,BSCICP03USM665S, OECD Business Confidence,2007-09-01
2602,2007-10-05,2007-09-01,4.7,UNRATE, Unemployment Rate,2007-09-01
2300,2013-06-03,2007-09-01,99.7098115308001,CSCICP03USM665S, OECD US Consumer Confidence,2007-09-01
3427,2007-10-05,2007-09-01,66.0,CIVPART, Civilian Participation Rate,2007-09-01
1786,2010-08-11,2007-09-01,4105.0,JTS1000JOL, Job Openings: Total Private,2007-09-01
3617,2011-05-06,2007-09-01,4556.0,LNS12032194, Part-Time for Econ Reasons,2007-09-01
3097,2007-10-05,2007-09-01,1277.0,UEMP27OV, Unemployed for 27 Weeks,2007-09-01
361,2009-05-28,2007-09-01,319000.0,ICSA, Initial Claims,2007-09-01
2932,2007-10-05,2007-09-01,153464.0,CLF16OV, Civilian Labor Force,2007-09-01
3286,2011-03-04,2007-09-01,8.4,U6Rate, Unemployed plus Marginally Attached ,2007-09-01
2116,2010-08-11,2007-09-01,4802.0,JTS1000TSL,  Total Separations: Total Private ,2007-09-01
1082,2009-09-10,2007-09-01,2610000.0,CCSA, Continued Claims ,2007-09-01
166,2011-02-02,2007-09-01,114798.0,NPPTTL, ADP,2007-09-01
2767,2007-10-05,2007-09-01,7207.0,UNEMPLOY, Unemployment Level,2007-09-01
1083,2009-09-10,2007-09-08,2587000.0,CCSA, Continued Claims ,2007-09-08
364,2009-05-28,2007-09-08,323000.0,ICSA, Initial Claims,2007-09-08
393,2009-05-28,2007-09-15,317000.0,ICSA, Initial Claims,2007-09-15
1085,2009-09-10,2007-09-15,2581000.0,CCSA, Continued Claims ,2007-09-15
1088,2009-09-10,2007-09-22,2573000.0,CCSA, Continued Claims ,2007-09-22
391,2009-05-28,2007-09-22,303000.0,ICSA, Initial Claims,2007-09-22
1090,2009-09-10,2007-09-29,2555000.0,CCSA, Continued Claims ,2007-09-29
390,2009-05-28,2007-09-29,319000.0,ICSA, Initial Claims,2007-09-29
2455,2013-06-03,2007-10-01,99.3629022208159,BSCICP03USM665S, OECD Business Confidence,2007-10-01
2114,2010-08-11,2007-10-01,4840.0,JTS1000TSL,  Total Separations: Total Private ,2007-10-01
2768,2007-11-02,2007-10-01,7245.0,UNEMPLOY, Unemployment Level,2007-10-01
1949,2010-08-11,2007-10-01,4956.0,JTS1000HIL,  Hires: Total Private ,2007-10-01
3428,2007-11-02,2007-10-01,65.9,CIVPART, Civilian Participation Rate,2007-10-01
3098,2007-11-02,2007-10-01,1312.0,UEMP27OV, Unemployed for 27 Weeks,2007-10-01
2933,2007-11-02,2007-10-01,153253.0,CLF16OV, Civilian Labor Force,2007-10-01
3621,2011-05-06,2007-10-01,4366.0,LNS12032194, Part-Time for Econ Reasons,2007-10-01
2603,2007-11-02,2007-10-01,4.7,UNRATE, Unemployment Rate,2007-10-01
3299,2011-03-04,2007-10-01,8.4,U6Rate, Unemployed plus Marginally Attached ,2007-10-01
9,2007-11-02,2007-10-01,116089.0,USPRIV, BLS private,2007-10-01
1785,2010-08-11,2007-10-01,3923.0,JTS1000JOL, Job Openings: Total Private,2007-10-01
183,2011-02-02,2007-10-01,114808.0,NPPTTL, ADP,2007-10-01
2320,2013-06-03,2007-10-01,99.4017414794395,CSCICP03USM665S, OECD US Consumer Confidence,2007-10-01
1093,2009-09-10,2007-10-06,2561000.0,CCSA, Continued Claims ,2007-10-06
388,2009-05-28,2007-10-06,317000.0,ICSA, Initial Claims,2007-10-06
386,2009-05-28,2007-10-13,338000.0,ICSA, Initial Claims,2007-10-13
1160,2009-09-10,2007-10-13,2568000.0,CCSA, Continued Claims ,2007-10-13
1097,2009-09-10,2007-10-20,2619000.0,CCSA, Continued Claims ,2007-10-20
385,2009-05-28,2007-10-20,336000.0,ICSA, Initial Claims,2007-10-20
1099,2009-09-10,2007-10-27,2608000.0,CCSA, Continued Claims ,2007-10-27
383,2009-05-28,2007-10-27,330000.0,ICSA, Initial Claims,2007-10-27
3429,2007-12-07,2007-11-01,66.1,CIVPART, Civilian Participation Rate,2007-11-01
10,2007-12-07,2007-11-01,116119.0,USPRIV, BLS private,2007-11-01
3296,2011-03-04,2007-11-01,8.5,U6Rate, Unemployed plus Marginally Attached ,2007-11-01
3099,2007-12-07,2007-11-01,1390.0,UEMP27OV, Unemployed for 27 Weeks,2007-11-01
2302,2013-06-03,2007-11-01,99.1027710413849,CSCICP03USM665S, OECD US Consumer Confidence,2007-11-01
199,2011-02-02,2007-11-01,114910.0,NPPTTL, ADP,2007-11-01
1948,2010-08-11,2007-11-01,4871.0,JTS1000HIL,  Hires: Total Private ,2007-11-01
2604,2007-12-07,2007-11-01,4.7,UNRATE, Unemployment Rate,2007-11-01
2934,2007-12-07,2007-11-01,153870.0,CLF16OV, Civilian Labor Force,2007-11-01
3624,2011-05-06,2007-11-01,4514.0,LNS12032194, Part-Time for Econ Reasons,2007-11-01
2456,2013-06-03,2007-11-01,99.2595173885312,BSCICP03USM665S, OECD Business Confidence,2007-11-01
2769,2007-12-07,2007-11-01,7167.0,UNEMPLOY, Unemployment Level,2007-11-01
1784,2010-08-11,2007-11-01,4039.0,JTS1000JOL, Job Openings: Total Private,2007-11-01
2113,2010-08-11,2007-11-01,4792.0,JTS1000TSL,  Total Separations: Total Private ,2007-11-01
1101,2009-09-10,2007-11-03,2590000.0,CCSA, Continued Claims ,2007-11-03
381,2009-05-28,2007-11-03,327000.0,ICSA, Initial Claims,2007-11-03
380,2009-05-28,2007-11-10,331000.0,ICSA, Initial Claims,2007-11-10
1079,2009-09-10,2007-11-10,2589000.0,CCSA, Continued Claims ,2007-11-10
1076,2009-09-10,2007-11-17,2665000.0,CCSA, Continued Claims ,2007-11-17
378,2009-05-28,2007-11-17,329000.0,ICSA, Initial Claims,2007-11-17
1054,2009-09-10,2007-11-24,2613000.0,CCSA, Continued Claims ,2007-11-24
375,2009-05-28,2007-11-24,344000.0,ICSA, Initial Claims,2007-11-24
1056,2009-09-10,2007-12-01,2600000.0,CCSA, Continued Claims ,2007-12-01
2605,2008-01-04,2007-12-01,5.0,UNRATE, Unemployment Rate,2007-12-01
1947,2010-08-11,2007-12-01,4650.0,JTS1000HIL,  Hires: Total Private ,2007-12-01
11,2008-01-04,2007-12-01,116107.0,USPRIV, BLS private,2007-12-01
2112,2010-08-11,2007-12-01,4639.0,JTS1000TSL,  Total Separations: Total Private ,2007-12-01
372,2009-05-28,2007-12-01,340000.0,ICSA, Initial Claims,2007-12-01
2770,2008-01-04,2007-12-01,7655.0,UNEMPLOY, Unemployment Level,2007-12-01
3100,2008-01-04,2007-12-01,1338.0,UEMP27OV, Unemployed for 27 Weeks,2007-12-01
3430,2008-01-04,2007-12-01,66.0,CIVPART, Civilian Participation Rate,2007-12-01
3627,2011-05-06,2007-12-01,4638.0,LNS12032194, Part-Time for Econ Reasons,2007-12-01
2267,2013-06-03,2007-12-01,98.9268689232891,CSCICP03USM665S, OECD US Consumer Confidence,2007-12-01
1783,2010-08-11,2007-12-01,3920.0,JTS1000JOL, Job Openings: Total Private,2007-12-01
2457,2013-06-03,2007-12-01,99.172517804835,BSCICP03USM665S, OECD Business Confidence,2007-12-01
3288,2011-03-04,2007-12-01,8.8,U6Rate, Unemployed plus Marginally Attached ,2007-12-01
2935,2008-01-04,2007-12-01,153866.0,CLF16OV, Civilian Labor Force,2007-12-01
196,2011-02-02,2007-12-01,114988.0,NPPTTL, ADP,2007-12-01
369,2009-05-28,2007-12-08,327000.0,ICSA, Initial Claims,2007-12-08
1059,2009-09-10,2007-12-08,2638000.0,CCSA, Continued Claims ,2007-12-08
1061,2009-09-10,2007-12-15,2684000.0,CCSA, Continued Claims ,2007-12-15
366,2009-05-28,2007-12-15,344000.0,ICSA, Initial Claims,2007-12-15
1064,2009-09-10,2007-12-22,2707000.0,CCSA, Continued Claims ,2007-12-22
396,2009-05-28,2007-12-22,346000.0,ICSA, Initial Claims,2007-12-22
1066,2009-09-10,2007-12-29,2659000.0,CCSA, Continued Claims ,2007-12-29
351,2009-05-28,2007-12-29,349000.0,ICSA, Initial Claims,2007-12-29
1946,2010-08-11,2008-01-01,4612.0,JTS1000HIL,  Hires: Total Private ,2008-01-01
3290,2011-03-04,2008-01-01,9.1,U6Rate, Unemployed plus Marginally Attached ,2008-01-01
1782,2010-08-11,2008-01-01,3774.0,JTS1000JOL, Job Openings: Total Private,2008-01-01
12,2008-02-01,2008-01-01,115814.0,USPRIV, BLS private,2008-01-01
3431,2008-02-01,2008-01-01,66.1,CIVPART, Civilian Participation Rate,2008-01-01
3101,2008-02-01,2008-01-01,1380.0,UEMP27OV, Unemployed for 27 Weeks,2008-01-01
2606,2008-02-01,2008-01-01,4.9,UNRATE, Unemployment Rate,2008-01-01
2936,2008-02-01,2008-01-01,153824.0,CLF16OV, Civilian Labor Force,2008-01-01
2111,2010-08-11,2008-01-01,4632.0,JTS1000TSL,  Total Separations: Total Private ,2008-01-01
2458,2013-06-03,2008-01-01,99.1598237835565,BSCICP03USM665S, OECD Business Confidence,2008-01-01
2325,2013-06-03,2008-01-01,98.7577896685032,CSCICP03USM665S, OECD US Consumer Confidence,2008-01-01
3631,2011-05-06,2008-01-01,4798.0,LNS12032194, Part-Time for Econ Reasons,2008-01-01
2771,2008-02-01,2008-01-01,7576.0,UNEMPLOY, Unemployment Level,2008-01-01
201,2011-02-02,2008-01-01,115027.0,NPPTTL, ADP,2008-01-01
1069,2009-09-10,2008-01-05,2719000.0,CCSA, Continued Claims ,2008-01-05
365,2009-05-28,2008-01-05,338000.0,ICSA, Initial Claims,2008-01-05
1072,2009-09-10,2008-01-12,2660000.0,CCSA, Continued Claims ,2008-01-12
367,2009-05-28,2008-01-12,314000.0,ICSA, Initial Claims,2008-01-12
1074,2009-09-10,2008-01-19,2666000.0,CCSA, Continued Claims ,2008-01-19
368,2009-05-28,2008-01-19,318000.0,ICSA, Initial Claims,2008-01-19
370,2009-05-28,2008-01-26,367000.0,ICSA, Initial Claims,2008-01-26
1104,2009-09-10,2008-01-26,2753000.0,CCSA, Continued Claims ,2008-01-26
1945,2010-08-11,2008-02-01,4630.0,JTS1000HIL,  Hires: Total Private ,2008-02-01
13,2008-03-07,2008-02-01,115618.0,USPRIV, BLS private,2008-02-01
3432,2008-03-07,2008-02-01,65.9,CIVPART, Civilian Participation Rate,2008-02-01
2459,2013-06-03,2008-02-01,99.0652824722901,BSCICP03USM665S, OECD Business Confidence,2008-02-01
2772,2008-03-07,2008-02-01,7381.0,UNEMPLOY, Unemployment Level,2008-02-01
2607,2008-03-07,2008-02-01,4.8,UNRATE, Unemployment Rate,2008-02-01
1781,2010-08-11,2008-02-01,3687.0,JTS1000JOL, Job Openings: Total Private,2008-02-01
3102,2008-03-07,2008-02-01,1299.0,UEMP27OV, Unemployed for 27 Weeks,2008-02-01
2110,2010-08-11,2008-02-01,4740.0,JTS1000TSL,  Total Separations: Total Private ,2008-02-01
3633,2011-05-06,2008-02-01,4857.0,LNS12032194, Part-Time for Econ Reasons,2008-02-01
2937,2008-03-07,2008-02-01,153374.0,CLF16OV, Civilian Labor Force,2008-02-01
2331,2013-06-03,2008-02-01,98.3508693442572,CSCICP03USM665S, OECD US Consumer Confidence,2008-02-01
3294,2011-03-04,2008-02-01,8.9,U6Rate, Unemployed plus Marginally Attached ,2008-02-01
